input,target
"Senin tanrın, o şimdi nerede?",Tanrın şimdi nerede?
Bir ayna gibi durmuyor mu?,Bir ayna gibi görünmüyor mu?
O nasıl kokuyor?,Bu koku nedir?
O sizin mi?,"Bu, Tom hakkında mı?"
Hareket saati nedir?,Ne zaman yolculuğa çıkıyorsun?
Biraz kahve almazmısın?,Çay içer misin?
Başka ne yapabiliriz?,Başka ne yapabilirdik?
Niçin öyle hızlısın?,Neden çok yoğunsun?
Sence tüm politikacılarımız çok yaşlı değil mi?,Ayrıca politikacıların çok yaşlı olduğunu düşünmüyor musunuz?
28 Şubatta ö.s. yaklaşık saat üçte buluşabilir miyiz?,"Peki ya 28 Şubat, öğleden sonra 3:00 gibi nasıl olur?"
Onun bundan hoşlanacağını düşünüyor musun?,Onun onu beğeneceğini düşünüyor musun?
Tom gerçekten Mary ile ayrıldı mı?,Tom gerçekten Mary ile ilişkiyi bitirdi mi?
Neden cevaplamıyorsunuz?,Bana neden cevap vermiyorsun?
Çocukları kandırmanın kolay olduğunu düşünüyor musun?,Sence çocukları kandırmak kolay mıdır?
Yeni şapkamı beğendin mi?,Yeni şapkamı beğeniyor musun?
Burada yalnız mısın?,Burada tek başına mısın?
Yarın gece özgür müsün?,Yarın akşam boş musun?
Ne zaman gideriz?,Kaçta geri geleceksin?
Radyoyu açsam rahatsız olur musun?,Radyoyu açmamın bir sakıncası var mı?
Yayan mı yoksa otobüsle mi gideceksin?,Yayan mı gideceksin yoksa otobüsle mi?
Neden vazgeçtin?,Niçin durdun?
Kim Fransızca konuşur?,Kim Fransızca konuştu?
Neden yalnızca yabancıları durdurdunuz?,Neden sadece yabancıları durdurdun?
Kimden satın aldınız?,Ne satın aldınız?
Ne zaman ödeme alırım?,Bana ne zaman ödenecek?
Koltuklar müsait mi?,Bu koltuk ayrıldı mı?
Ölmek istiyorum mu zannediyorsun?,Ölmek istediğimi mi düşünüyorsunuz?
Tom'la ilgili sorun ne?,Tom'a ne oluyor?
İlk ne yapacağız?,Genellikle saat kaçta eve dönersin?
Bu kitabı kimin yazdığına dair bir fikrin var mı?,Bu kimin ders kitabı?
Bunu kimle yapmalıyız?,Onu kiminle birlikte yapmalıyız?
Kitaplarım nerede?,Benim kitaplarım nerede?
Anlayan var mı?,Kimse anladı mı?
"O, bugün ne yaptı?",Bugün ne yaptın?
Bununla ne yaparız?,Onunla ne yapacağız?
Dün gece neredeydin?,Dün akşam neredeydin?
Oğlana ne deniliyordu?,Çocuğun adı neydi?
Sen dürüst müsün?,Dürüst müsünüz?
Bu yeni model piyasaya çıkmış mı?,Bu yeni model satışa çıkmış mı?
Vazgeçmek ister misin?,Vazgeçmek istiyor musunuz?
Bir bira daha içmek ister misin?,Bir bira daha ister misin?
İşlerini bitirdin mi?,"Ev ödevini bitirdin, değil mi?"
"Rushia, kız kardeşin var mı?","Bir kız kardeşin var mı, Lucia?"
"Tom bitirmek üzere, değil mi?","Tom neredeyse hazır, değil mi?"
Ne zaman geliyorsun?,Ne zaman geri döndün?
Saçının rengi nedir?,Saçın ne renk?
"Eğer geçmişte bir kez daha hayata yeniden başlamak için dönebilseydin, hangi yaşta dönmek isterdin?","Geri gidebilsen ve hayatına tekrar başlayabilsen, hangi yaştan başlamak istersin?"
Akşam yemeğine kadar ne kadar sürer?,Akşam yemeğine daha ne kadar var?
O ne zaman gelir?,Eve ne zaman dönüyorsun?
Niye hâlâ buradasın?,Neden hâlâ buradasın?
"O, ne zaman geri geliyor?",Ne zaman evde olacaksın?
Kalemini bana ödünç verir misin?,Bana bir kalem ödünç verebilir misin?
Hiç bir dolarlık bankanotların var mı?,Bir dolarlık banknotunuz var mı?
Bay Burns'le mi yoksa Bay Roland'la mı aynı fikirdesin?,Doktor Burns ya da Bayan Roland'la aynı fikirde misiniz?
Tom neye benziyor?,Tom ne tür bir kişidir?
Ne zaman geri geliyorsun?,"O, tekrar ne zaman eve gelecek?"
Eve ne zaman döneceksin?,Saat kaçta çıkıyoruz?
Sen evime nasıl girdin?,Sizi evimde burada bulmanın beklenmedik onurunu neye borçluyum?
Ne zaman yemek yiyorsunuz?,Öğle yemeğini ne zaman yiyorsun?
Saat kaçta çıkıyoruz?,Ne zaman gideceksin?
Neden sen sürekli yer almak zorundasın?,Neden her zaman burnunu sokuyorsun?
Polis korumasına ihtiyacınız var mı?,Polis korumasına ihtiyacın var mı?
Onu neden sevdiğini bana lütfeder misin?,Onu neden sevdiğinizi bana söyleyebilir misiniz?
Senin avukatın kim?,Avukatın kimdir?
Tom ne oldu?,Tom'un sorunu nedir?
Tüm bu özgüven nereden geldi?,Bu özgüven nereden geliyor?
Ne söylemem gerekiyordu?,Ne söylememi bekliyordun?
Film iyi miydi?,Siz filmi beğendiniz mi?
Nasıl biriydi?,Nasıl gitti?
Neden bana inanmıyorsun?,Neden bana güvenmeyeceksin?
Bu köpek kaç yaşındadır?,O köpek kaç yaşında?
Saat kaçta eve geldin?,Evine saat kaçta vardın?
